"Create a file named custom-color.css in your child theme like wp-content/themes/electro-child/custom-color.css. Latest versions of electro-child comes with an empty custom-color.css so you don't have to create one","Create a file named custom-color.css in your child theme like wp-content/themes/electro-child/custom-color.css. Latest versions of electro-child comes with an empty custom-color.css so you don't have to create one",,inc/admin/electro-admin-functions.php:55,
"If you do not use a child theme, please use one otherwise all your custom changes will be lost during update","If you do not use a child theme, please use one otherwise all your custom changes will be lost during update",,inc/admin/electro-admin-functions.php:56,
"Copy the CSS above and paste in the custom-color.css file created in step 1","Copy the CSS above and paste in the custom-color.css file created in step 1",,inc/admin/electro-admin-functions.php:57,
"Thats it. Your custom-color.css will be loaded automatically.","Thats it. Your custom-color.css will be loaded automatically.",,inc/admin/electro-admin-functions.php:58,
"Recent Products","Recent Products",,"inc/admin/electro-meta-box-functions.php:265
inc/widgets/class-electro-products-carousel-tabs.php:102
inc/widgets/class-electro-products-carousel-widget.php:179
inc/widgets/class-electro-products-tabs.php:102",
"Featured Products","Featured Products",,"inc/admin/electro-meta-box-functions.php:266
inc/functions/homepages/home-mobile-v1.php:82
inc/template-tags/homepages/home-mobile.php:216
inc/widgets/class-electro-products-2-1-2-widget.php:154
inc/widgets/class-electro-products-6-1-widget.php:154
inc/widgets/class-electro-products-cards-carousel-widget.php:219
inc/widgets/class-electro-products-carousel-tabs.php:99
inc/widgets/class-electro-products-carousel-widget.php:176
inc/widgets/class-electro-products-tabs.php:99
inc/woocommerce/functions.php:469 inc/woocommerce/template-tags.php:1501",
"Sale Products","Sale Products",,inc/admin/electro-meta-box-functions.php:267,
"Best Selling Products","Best Selling Products",,"inc/admin/electro-meta-box-functions.php:268
inc/widgets/class-electro-products-carousel-tabs.php:103
inc/widgets/class-electro-products-carousel-widget.php:180
inc/widgets/class-electro-products-tabs.php:103",
"Top Rated Products","Top Rated Products",,"inc/admin/electro-meta-box-functions.php:269
inc/widgets/class-electro-products-carousel-tabs.php:101
inc/widgets/class-electro-products-carousel-widget.php:178
inc/widgets/class-electro-products-tabs.php:101
inc/woocommerce/functions.php:477",
"Product Category","Product Category",,"inc/admin/electro-meta-box-functions.php:270
inc/widgets/class-electro-products-carousel-widget.php:182",
Products,Products,,"inc/admin/electro-meta-box-functions.php:271
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:358
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:416
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:589
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:700
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:294
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:392
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:564
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:553
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:575
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:685
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:576
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:715
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:835
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:963
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1018
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1073
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:681
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:721
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:789
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:856
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:903
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:974
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:562
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:715
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:865
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:1048
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:1054
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:1171
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:1177
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:503
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:568
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:670
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:720
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:498
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:893
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1040
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1164
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:477
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:653
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:787
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:899
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:1026",
"Product Attribute","Product Attribute",,inc/admin/electro-meta-box-functions.php:272,
"Product Category Slug","Product Category Slug",,inc/admin/electro-meta-box-functions.php:281,
"Enter slug spearate by comma(,).","Enter slug spearate by comma(,).",,inc/admin/electro-meta-box-functions.php:283,
"Product Category Operator","Product Category Operator",,inc/admin/electro-meta-box-functions.php:291,
"Operator to compare categories. Possible values are 'IN', 'NOT IN', 'AND'.","Operator to compare categories. Possible values are 'IN', 'NOT IN', 'AND'.",,inc/admin/electro-meta-box-functions.php:293,
"Show Products by:","Show Products by:",,inc/admin/electro-meta-box-functions.php:301,
IDs,IDs,,inc/admin/electro-meta-box-functions.php:303,
SKUs,SKUs,,inc/admin/electro-meta-box-functions.php:304,
"Product IDs or SKUs","Product IDs or SKUs",,inc/admin/electro-meta-box-functions.php:314,
"Enter IDs or SKUs separated by comma","Enter IDs or SKUs separated by comma",,inc/admin/electro-meta-box-functions.php:315,
Attribute,Attribute,,inc/admin/electro-meta-box-functions.php:323,
"Enter single attribute slug.","Enter single attribute slug.",,inc/admin/electro-meta-box-functions.php:325,
Terms,Terms,,inc/admin/electro-meta-box-functions.php:333,
"Enter term slug spearate by comma(,).","Enter term slug spearate by comma(,).",,inc/admin/electro-meta-box-functions.php:335,
"Terms Operator","Terms Operator",,inc/admin/electro-meta-box-functions.php:343,
"Operator to compare terms. Possible values are 'IN', 'NOT IN', 'AND'.","Operator to compare terms. Possible values are 'IN', 'NOT IN', 'AND'.",,inc/admin/electro-meta-box-functions.php:345,
"Shortcode Atts","Shortcode Atts",,inc/admin/electro-meta-box-functions.php:355,
Limit,Limit,,"inc/admin/electro-meta-box-functions.php:379
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:328
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:506
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:574
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:685
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:762
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:377
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:481
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:549
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:796
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:844
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:700
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:936
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:991
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1046
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:708
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:946
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:912
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:827
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:611
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:802
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:247",
Columns,Columns,,"inc/admin/electro-meta-box-functions.php:388
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:336
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:514
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:777
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:489
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:415
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:445
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:597
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:610
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:707
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:719
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:364
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:384
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:553
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:566
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:724
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:844
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:942
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:952
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:997
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1007
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1052
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1062
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:514
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:536
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:674
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:714
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:766
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:779
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:833
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:846
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:952
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:962
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:1060
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:342
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:364
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:521
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:542
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:695
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:844
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:920
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:1212
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:249
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:482
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:577
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:679
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:745
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:835
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:506
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:626
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:818
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:873
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1025
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1149
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1347
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:255
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:456
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:633",
1,1,,"inc/admin/electro-meta-box-functions.php:391
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:258",
2,2,,"inc/admin/electro-meta-box-functions.php:392
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:259",
3,3,,"inc/admin/electro-meta-box-functions.php:393
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:260",
4,4,,"inc/admin/electro-meta-box-functions.php:394
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:261",
5,5,,"inc/admin/electro-meta-box-functions.php:395
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:262",
6,6,,"inc/admin/electro-meta-box-functions.php:396
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:263",
Orderby,Orderby,,inc/admin/electro-meta-box-functions.php:405,
Date,Date,,"inc/admin/electro-meta-box-functions.php:408
inc/widgets/class-electro-products-2-1-2-widget.php:161
inc/widgets/class-electro-products-6-1-widget.php:161
inc/widgets/class-electro-products-cards-carousel-widget.php:226",
Id,Id,,inc/admin/electro-meta-box-functions.php:409,
"Menu Order","Menu Order",,inc/admin/electro-meta-box-functions.php:410,
Popularity,Popularity,,inc/admin/electro-meta-box-functions.php:411,
Rand,Rand,,inc/admin/electro-meta-box-functions.php:412,
Rating,Rating,,inc/admin/electro-meta-box-functions.php:413,
Title,Title,,"inc/admin/electro-meta-box-functions.php:414
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:767
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:815
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:182
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:864
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:926
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:180
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:938
inc/widgets/class-electro-posts-carousel-widget.php:55
inc/widgets/class-electro-recent-posts-widget.php:52",
Order,Order,,"inc/admin/electro-meta-box-functions.php:423
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:320
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:498
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:566
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:677
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:754
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:369
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:473
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:541
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:788
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:836
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:904
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:819
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:603",
ASC,ASC,,"inc/admin/electro-meta-box-functions.php:426
inc/widgets/class-electro-brands-carousel.php:135
inc/widgets/class-electro-product-list-categories.php:127
inc/widgets/class-electro-products-2-1-2-widget.php:170
inc/widgets/class-electro-products-2-1-2-widget.php:209
inc/widgets/class-electro-products-6-1-widget.php:170
inc/widgets/class-electro-products-6-1-widget.php:209
inc/widgets/class-electro-products-cards-carousel-widget.php:235
inc/widgets/class-electro-products-cards-carousel-widget.php:274",
DESC,DESC,,"inc/admin/electro-meta-box-functions.php:427
inc/widgets/class-electro-brands-carousel.php:136
inc/widgets/class-electro-product-list-categories.php:128
inc/widgets/class-electro-products-2-1-2-widget.php:171
inc/widgets/class-electro-products-2-1-2-widget.php:210
inc/widgets/class-electro-products-6-1-widget.php:171
inc/widgets/class-electro-products-6-1-widget.php:210
inc/widgets/class-electro-products-cards-carousel-widget.php:236
inc/widgets/class-electro-products-cards-carousel-widget.php:275",
"Upload/Add image","Upload/Add image",,"inc/admin/electro-meta-box-functions.php:477
inc/woocommerce/class-electro-brands.php:77
inc/woocommerce/class-electro-brands.php:186",
"Remove this image","Remove this image",,inc/admin/electro-meta-box-functions.php:478,
"No Animation","No Animation",,inc/admin/electro-meta-box-functions.php:492,
Autoplay,Autoplay,,inc/admin/electro-meta-box-functions.php:594,
Responsive,Responsive,,inc/admin/electro-meta-box-functions.php:603,
"For screen above ","For screen above ",,inc/admin/electro-meta-box-functions.php:634,
Items,Items,,inc/admin/electro-meta-box-functions.php:638,
"Select a menu","Select a menu",,inc/admin/electro-meta-box-functions.php:654,
Menu,Menu,,"inc/admin/electro-meta-box-functions.php:663
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:190
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:204",
General,General,,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:48
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:48
inc/redux-framework/options/general-options.php:8
inc/redux-framework/options/shop-options.php:12
inc/redux-framework/options/style-options.php:16",
Slider,Slider,,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:53
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:153
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:53
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:144
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:53
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:121
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:53
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:154
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:53
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:152
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:184
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:58
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:142
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:211",
"Ads Block","Ads Block",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:58
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:154
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:58
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:145
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:58
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:122
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:169
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:58
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:155
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:214
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:63
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:154
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:325
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:68
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:144
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:93
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:144
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:1183",
"Product Categories List - 1","Product Categories List - 1",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:63
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:155",
"Deals Product Block","Deals Product Block",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:68
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:156
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:63",
"Banner - 1","Banner - 1",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:73
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:157",
"1-2 Products Block","1-2 Products Block",,inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:78,
"Product Categories List - 2","Product Categories List - 2",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:83
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:159",
"Product List Block - 1","Product List Block - 1",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:88
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:160
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:68
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:147",
"Banner - 2","Banner - 2",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:93
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:161",
"Product List Block - 2","Product List Block - 2",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:98
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:162
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:78
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:149",
"Categories Block","Categories Block",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:103
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:163
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:83
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:147
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:98
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:150",
"Recently Viewed","Recently Viewed",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:108
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:164
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:88
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:151
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:1041
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:941
inc/functions/homepages/home-mobile-v1.php:199
inc/functions/homepages/home-mobile-v1.php:356
inc/functions/homepages/home-mobile-v2.php:297
inc/functions/homepages/home-v2.php:265 inc/structure/homepage.php:1647
inc/template-tags/homepages/home-mobile.php:465",
"Header Style","Header Style",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:126
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:117
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:101
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:134
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:132
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:121
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:121
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:116
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:111
inc/redux-framework/options/header-options.php:78
inc/redux-framework/options/mobile-options.php:57",
"Header v1","Header v1",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:129
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:120
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:103
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:136
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:135
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:124
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:124
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:119
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:114
inc/admin/meta-boxes/class-electro-meta-box-page.php:27
inc/redux-framework/options/header-options.php:83",
"Header v2","Header v2",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:130
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:121
inc/admin/meta-boxes/class-electro-meta-box-home-v1.php:104
inc/admin/meta-boxes/class-electro-meta-box-home-v2.php:137
inc/admin/meta-boxes/class-electro-meta-box-home-v3.php:136
inc/admin/meta-boxes/class-electro-meta-box-home-v4.php:125
inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:125
inc/admin/meta-boxes/class-electro-meta-box-home-v6.php:120
inc/admin/meta-boxes/class-electro-meta-box-home-v7.php:115
inc/admin/meta-boxes/class-electro-meta-box-page.php:28
inc/redux-framework/options/header-options.php:84",
"Footer Style","Footer Style",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:138
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:129
inc/redux-framework/options/mobile-options.php:124",
"Footer v1","Footer v1",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:141
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:132
inc/redux-framework/options/mobile-options.php:129",
"Footer v2","Footer v2",,"inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v1.php:142
inc/admin/meta-boxes/class-electro-meta-box-home-mobile-v2.php:133
inc/redux-framework/options/mobile-options.php:130",
