"Исходный текст — английский","Перевод — русский"
"<p>This makes it difficult for plugins to override these styles. You can try to resolve this using the ""Repair header template"" option (Step 6, ""Additional handling options"", below).</p>","<p> Это затрудняет переопределение этих стилей плагинами. Вы можете попытаться решить эту проблему, используя параметр «Восстановить шаблон заголовка» (Шаг 6, «Дополнительные параметры обработки», ниже). </p>"
"This theme loads the parent theme's <code>style.css</code> file outside the wp_styles queue.","Эта тема загружает файл <code>style.css </code> Родительской темы вне очереди wp_styles."
"<p>This is common with older themes but requires the use of <code>@import</code>, which is no longer recommended. You can try to resolve this using the ""Repair header template"" option (see step 6, ""Additional handling options"", below).</p>","<p> Это часто встречается в старых темах, но требует использования <code>@import </code>, что больше не рекомендуется. Вы можете попытаться решить эту проблему с помощью параметра «Восстановить шаблон заголовка» (см. Шаг 6 «Дополнительные параметры обработки» ниже). </p>"
"This child theme does not load a Configurator stylesheet.","Эта дочерняя тема не загружает таблицу стилей Конфигуратора."
"<p>If you want to customize styles using this plugin, please click ""Configure Child Theme"" again to add this to the settings.</p>","<p> Если вы хотите настроить стили с помощью этого плагина, снова нажмите «Настроить дочернюю тему», чтобы добавить его в настройки. </p>"
"This child theme uses the parent stylesheet but does not load the parent theme's <code>style.css</code> file.","Эта дочерняя тема использует Родительськийскую таблицу стилей, но не загружает файл <code>style.css </code> Родительской темы."
"<p>Please select a stylesheet handling method or check ""Ignore parent theme stylesheets"" (see step 6, below).</p>","<p> Выберите метод обработки таблицы стилей или установите флажок «Игнорировать таблицы стилей Родительской темы» (см. шаг 6 ниже). </p>"
"This child theme appears to be functioning correctly.","Эта дочерняя тема, кажется, функционирует правильно."
"This theme appears OK to use as a Child theme.","Эта тема хорошо подходит для использования в качестве дочерней темы."
"This Child Theme has not been configured for this plugin.","Эта дочерняя тема не была настроена для этого плагина."
"<p>The Configurator makes significant modifications to the child theme, including stylesheet changes and additional php functions. Please consider using the DUPLICATE child theme option (see step 1, above) and keeping the original as a backup.</p>","<p> Конфигуратор вносит значительные изменения в дочернюю тему, включая изменения в таблице стилей и дополнительные функции php. Пожалуйста, рассмотрите возможность использования опции дочерней темы DUPLICATE (см. Шаг 1 выше) и сохраните оригинал в качестве резервной копии. </p>"
"This child theme uses <code>@import</code> to load the parent theme's <code>style.css</code> file.","Эта дочерняя тема использует <code>@import </code> для загрузки файла <code>style.css </code> Родительской темы."
"<p>Please consider selecting ""Use the WordPress style queue"" for the parent stylesheet handling option (see step 6, below).</p>","<p> Пожалуйста, рассмотрите возможность выбора «Использовать очередь стилей WordPress» для опции обработки Родительской таблицы стилей (см. шаг 6 ниже). </p>"
"This theme loads additional stylesheets after the <code>style.css</code> file:","Эта тема загружает дополнительные таблицы стилей после файла <code>style.css </code>:"
"<p>Consider saving new custom styles to a ""Separate stylesheet"" (see step 5, below) so that you can customize these styles.</p>","<p> Рассмотрите возможность сохранения новых пользовательских стилей в «отдельной таблице стилей» (см. шаг 5 ниже), чтобы вы могли настроить эти стили. </p>"
"The parent theme's <code>style.css</code> file is being loaded automatically.","Файл <code>style.css </code> Родительской темы загружается автоматически."
"<p>The Configurator selected ""Do not add any parent stylesheet handling"" for the ""Parent stylesheet handling"" option (see step 6, below).</p>","<p> Конфигуратор выбрал «Не добавлять Родительськийскую обработку таблицы стилей» для параметра «Обработка Родительской таблицы стилей» (см. шаг 6 ниже). </p>"
"This theme does not require the parent theme's <code>style.css</code> file for its appearance.","Для этой темы не требуется файл <code>style.css </code> Родительской темы."
"This Child Theme was configured to accomodate a hard-coded stylesheet link.","Эта дочерняя тема была настроена для размещения жестко запрограммированной ссылки на таблицу стилей."
"<p>This workaround was used in earlier versions of CTC and can be eliminated by using the ""Repair header template"" option (see step 6, ""Additional handling options"", below).</p>","<p> Этот обходной путь использовался в более ранних версиях CTC и может быть устранен с помощью параметра «Восстановить шаблон заголовка» (см. шаг 6, «Дополнительные параметры обработки», ниже). </p>"
"Click to show/hide raw analysis data. Please include contents below with any support requests.","Нажмите, чтобы показать / скрыть необработанные данные анализа. Пожалуйста, включите содержание ниже с любыми запросами поддержки."
"This child theme was configured using the CTC Pro ""Genesis stylesheet handling"" method.","Эта дочерняя тема была настроена с использованием метода CTC Pro «Обработка таблицы стилей Genesis»."
"<p>This method has been replaced by the ""Separate stylesheet"" and ""Ignore Parent Theme"" options ( selected below ) for broader framework compatability.</p>","<p> Этот метод был заменен опциями «Отдельная таблица стилей» и «Игнорировать Родительськийскую тему» ​​(выбраны ниже) для более широкой совместимости инфраструктуры. </p>"
"<p>%1Click Here%2 to view the theme as viewed by the Analyzer.</p>","<p>% 1Нажмите здесь% 2, чтобы просмотреть тему с точки зрения анализатора. </p>"
"This theme uses a RTL (right-to-left) stylesheet that is not being loaded in the child theme.","В этой теме используется таблица стилей RTL (справа налево), которая не загружается в дочернюю тему."
"Use the Web Fonts tab to add a link to the parent RTL stylesheet. See the documentation for more information.</p>","Используйте вкладку Веб-шрифты, чтобы добавить ссылку на Родительськийскую таблицу стилей RTL. См. Документацию для получения дополнительной информации. </p>"
"Both WP Rocket and Autoptimize plugins are enabled.","Оба плагина WP Rocket и Autoptimize включены."
"The combination of these two plugins interferes with the Analysis results. Please temporarily deactivate one of them and Analyze again.","Комбинация этих двух плагинов мешает результатам анализа. Пожалуйста, временно деактивируйте один из них и повторите анализ."
"<p><strong>The WordPress configuration file has been modified incorrectly.</strong> Please see <a href=""http://www.childthemeconfigurator.com/child-theme-faqs/#constants"" target=""_blank"">this FAQ</a> for more information.</p>","<p> <strong> Файл конфигурации WordPress был изменен неправильно. </strong> Смотрите <a href=""http://www.childthemeconfigurator.com/child-theme-faqs/#constants"" target=""_ blank"" > этот FAQ </a> для получения дополнительной информации. </p>"
"Enter your Update Key","Введите ваш ключ обновления"
"Sorry, we could not validate your Update Key. Please try again or, if you need assistance, please %s","К сожалению, мы не смогли подтвердить ваш ключ обновления. Пожалуйста, попробуйте еще раз или, если вам нужна помощь, пожалуйста, %s "
"contact us.","связаться с нами."
"Child Theme Configurator Pro version %s","Конфигуратор детской темы Pro версия %s "
"is not compatible with the installed version of Child Theme Configurator and has been deactivated.","несовместим с установленной версией Конфигуратора дочерней темы и был деактивирован."
"You can upgrade to the latest version by clicking the button below. After validating the Update Key from your order, WordPress will retrieve the plugin from our website and install it automatically. If you no longer wish to use the premium version, you can dismiss this notice by clicking the close icon (x) at the top right.","Вы можете обновить до последней версии, нажав кнопку ниже. После подтверждения ключа обновления из вашего заказа, WordPress извлечет плагин с нашего сайта и автоматически установит его. Если вы больше не хотите использовать премиум-версию, вы можете отклонить это уведомление, щелкнув значок закрытия (x) в правом верхнем углу."
"Upgrade Now","Обнови сейчас"
"Update Plugin","Обновить плагин"
"Parse additional stylesheets:","Разобрать дополнительные таблицы стилей:"
"Stylesheets that are currently being loaded by the parent theme are automatically selected below (except for Bootstrap stylesheets which add a large amount data to the configuration). To further reduce overhead, select only the additional stylesheets you wish to customize.","Таблицы стилей, которые в данный момент загружаются Родительской темой, автоматически выбираются ниже (за исключением таблиц стилей Bootstrap, которые добавляют большой объем данных в конфигурацию). Чтобы еще больше сократить накладные расходы, выберите только те дополнительные таблицы стилей, которые вы хотите настроить."
"Learn more about Premium Support","Узнайте больше о Премиум поддержке"
"Maybe you are having trouble getting your child theme to work, or just don’t want to mess with it ... <strong>Let us set it up for you!</strong>","Возможно, у вас возникли проблемы с работой вашей детской темы, или вы просто не хотите с ней связываться ... <strong> Давайте настроим ее для вас! </strong>"
"Learn more","Выучить больше"
"Learn more about Hook Highlighter","Узнайте больше о Hook Highlighter"
"Hook Highlighter provides Administrators insight into the internal program flow of WordPress when activated on any front-facing page of a website.","Hook Highlighter предоставляет администраторам понимание внутреннего потока программ WordPress при активации на любой лицевой странице веб-сайта."
"Display action and filter hooks, program files and backtrace information inline for the current page.","Отображение действий и фильтров, файлов программы и информации о трассировке для текущей страницы."
"Learn more about CTC Pro","Узнайте больше о CTC Pro"
"Customizing WordPress just got even easier.","Настройка WordPress стала еще проще."
"Thousands of users have already seen the benefits of using Child Theme Configurator. If you spend any amount of time customizing WordPress, CTC Pro will help maximize your productivity.","Тысячи пользователей уже увидели преимущества использования Конфигуратор Дочерней Темы. Если вы потратите какое-то время на настройку WordPress, CTC Pro поможет максимизировать вашу производительность."
"Designed by Developers Who Use It Every Day.","Разработано разработчиками, которые используют его каждый день."
"We've packed in more features to make design work quicker and easier with <strong>Child Theme Configurator Pro.</strong>","С <strong> Конфигуратор Дочерней Темы Pro</strong> мы добавили больше возможностей, чтобы сделать работу быстрее и проще."
"Customize Plugin Stylesheets","Настройка таблиц стилей плагинов"
"Apply the power of CTC's top-rated interface to your site's plugin styles. All new design makes it much easier to get the results you want.","Примените мощь интерфейса CTC с самым высоким рейтингом к стилям плагинов вашего сайта. Весь новый дизайн значительно облегчает получение желаемых результатов."
"Quick Preview","Быстрый просмотр"
"Preview your child theme with a single click.","Предварительно просмотрите свою дочернюю тему одним щелчком мыши."
"Color Palettes","Цветовые палитры"
"Keep the colors you select just a click away. No more searching for hex codes and RGB values.","Держите выбранные цвета одним щелчком мыши. Больше не нужно искать шестнадцатеричные коды и значения RGB."
"Find related styles","Найти похожие стили"
"Use the ""All Styles"" panel to edit groups of selectors from a single combined list.","Используйте панель «Все стили» для редактирования групп селекторов из единого комбинированного списка."
"Find styles by Nav Menu","Найти стили с помощью Nav Menu"
"Tweak menus quickly and easily.","Настраивайте меню быстро и легко."
"Most recent edits","Последние изменения"
"Return to recently edited selectors from a toggleable sidebar.","Возврат к недавно отредактированным селекторам с переключаемой боковой панели."
"Add Child Theme Files","Добавить файлы дочерней темы"
"Create new template and script files right from the admin.","Создавайте новые файлы шаблонов и скриптов прямо от администратора."
"Top-rated Online Support","Лучшая онлайн-поддержка"
"Online Documentation","Онлайн документация"
"Tutorial Videos","Обучающие видео"
"Upgrade Offer","Предложение по обновлению"
"Use coupon code","Используйте код купона"
"wordpress-org","WordPress-орг"
"and get <strong>20% off entire order</strong>.","и получите <strong> 20% от всего заказа </strong>."
"Order Now","Заказать сейчас"
"*Prices and offers subject to change.","* Цены и предложения могут быть изменены."
"Upgrade","Обновить"
"Backup","Резервный"
"Restore backup from","Восстановить резервную копию из"
"Currently loaded","В настоящее время загружен"
"Debug","отлаживать"
"Zip file creation failed.","Создание файла Zip не удалось."
"You do not have permission to configure child themes.","У вас нет разрешения на настройку дочерних тем."
"%s does not exist. Please select a valid Parent Theme."," %s  не существует. Пожалуйста, выберите действительную Родительськийскую тему."
"The Functions file is required and cannot be deleted.","Файл функций является обязательным и не может быть удален."
"Please select a valid Parent Theme.","Пожалуйста, выберите действительную Родительськийскую тему."
"Please select a valid Child Theme.","Пожалуйста, выберите действующую тему для детей."
"Please enter a valid Child Theme directory name.","Пожалуйста, введите правильное имя каталога дочерней темы."
"<strong>%s</strong> exists. Please enter a different Child Theme template name.","<strong> %s  </strong> существует. Пожалуйста, введите другое имя шаблона темы ребенка."
"Your theme directories are not writable.","Ваши тематические каталоги недоступны для записи."
"Could not upgrade child theme","Не удалось обновить дочернюю тему"
"Your stylesheet is not writable.","Ваша таблица стилей недоступна для записи."
"A closing PHP tag was detected in Child theme functions file so ""Parent Stylesheet Handling"" option was not configured. Closing PHP at the end of the file is discouraged as it can cause premature HTTP headers. Please edit <code>functions.php</code> to remove the final <code>?&gt;</code> tag and click ""Generate/Rebuild Child Theme Files"" again.","В файле функций дочерней темы был обнаружен закрывающий тег PHP, поэтому параметр «Обработка Родительской таблицы стилей» не был настроен. Закрытие PHP в конце файла не рекомендуется, так как это может привести к преждевременным заголовкам HTTP. Отредактируйте файл <code>functions.php </code>, чтобы удалить последний тег <code>?&gt;</code>, и снова нажмите «Создать / восстановить файлы дочерних тем»."
"Could not copy file: %s","Не удалось скопировать файл: %s "
"Could not delete %s file.","Не удалось удалить файл %s ."
"could not copy %s","не удалось скопировать %s "
"invalid dir: %s","неверный каталог: %s "
"deleted: %s != %s files","удалено: %s ! = %s  файлов"
"newfiles != files","newfiles! = файлы"
"There were errors while resetting permissions.","Были ошибки при сбросе разрешений."
"Could not upload file.","Не удалось загрузить файл."
"Invalid theme root directory.","Неверный корневой каталог темы."
"No writable temp directory.","Нет доступного для записи временного каталога."
"PclZip returned zero bytes.","PclZip вернул ноль байтов."
"Unpack failed -- %s","Не удалось распаковать - %s "
"Pack failed -- %s","Сбой пакета - %s "
"Maximum number of styles exceeded.","Превышено максимальное количество стилей."
"Error moving file: %s","Ошибка перемещения файла: %s "
"Could not set write permissions.","Не удалось установить разрешения на запись."
"Make Selected Writable","Сделать выбранное для записи"
"Copy Selected to Child Theme","Копировать выбранные темы для детей"
"Delete Selected","Удалить выбранные"
"Parent Templates","Родительськийские шаблоны"
"Child Theme Files","Файлы детской темы"
"Copy PHP templates from the parent theme by selecting them here. The Configurator defines a template as a Theme PHP file having no PHP functions or classes. Other PHP files cannot be safely overridden by a child theme.","Скопируйте шаблоны PHP из Родительской темы, выбрав их здесь. Конфигуратор определяет шаблон как PHP-файл Theme, не имеющий функций или классов PHP. Другие файлы PHP не могут быть безопасно переопределены дочерней темой."
"CAUTION: If your child theme is active, the child theme version of the file will be used instead of the parent immediately after it is copied.","ПРЕДУПРЕЖДЕНИЕ. Если ваша дочерняя тема активна, версия файла дочерней темы будет использоваться вместо Родительской сразу после ее копирования."
"The %s file is generated separately and cannot be copied here.","Файл %s  генерируется отдельно и не может быть скопирован здесь."
"Click to edit functions.php","Нажмите, чтобы редактировать functions.php"
"Click to edit files using the Theme Editor","Нажмите, чтобы редактировать файлы с помощью редактора тем"
"Delete child theme templates by selecting them here.","Удалите шаблоны дочерней темы, выбрав их здесь."
"Delete child theme templates or make them writable by selecting them here. Writable files are displayed in <span style=""color:red"">red</span>.","Удалите шаблоны дочерних тем или сделайте их доступными для записи, выбрав их здесь. Доступные для записи файлы отображаются в виде <span style=""color: red""> red </span>."
"Upload New Child Theme Image","Загрузить новое изображение детской темы"
"Theme images reside under the <code>images</code> directory in your child theme and are meant for stylesheet use only. Use the Media Library for content images.","Изображения тем находятся в каталоге <code>images </code> вашей дочерней темы и предназначены только для использования таблиц стилей. Используйте медиа-библиотеку для изображений контента."
"Upload","Загрузить"
"Child Theme Screenshot","Скриншот детской темы"
"Upload New Screenshot","Загрузить новый скриншот"
"The theme screenshot should be a 4:3 ratio (e.g., 880px x 660px) JPG, PNG or GIF. It will be renamed <code>screenshot</code>.","Скриншот темы должен иметь соотношение 4: 3 (например, 880px x 660px) в формате JPG, PNG или GIF. Он будет переименован в <code>screenshot </code>."
"Export Child Theme as Zip Archive","Экспорт детской темы в виде Zip-архива"
"Click ""Export Zip"" to save a backup of the currently loaded child theme. You can export any of your themes from the Parent/Child tab.","Нажмите «Экспорт Zip», чтобы сохранить резервную копию текущей загруженной дочерней темы. Вы можете экспортировать любую из ваших тем на вкладке Родительський / Дочерний."
"Secure Child Theme","Безопасная детская тема"
"Attempt to reset child theme permissions to user ownership and read-only access.","Попытайтесь сбросить разрешения дочерней темы на владение пользователями и доступ только для чтения."
"Make read-only","Сделать только для чтения"
"Child Theme Images","Детская тема изображения"
"Delete child theme images by selecting them here.","Удалите изображения дочерней темы, выбрав их здесь."
"version","версия"
"The child theme is in read-only mode and Child Theme Configurator cannot apply changes. Click to see options","Дочерняя тема находится в режиме только для чтения, и Конфигуратор дочерней темы не может применить изменения. Нажмите, чтобы увидеть варианты"
"<li>Temporarily set write permissions by clicking the button below. When you are finished editing, revert to read-only by clicking ""Make read-only"" under the ""Files"" tab.</li>","<li> Временно установите права на запись, нажав кнопку ниже. Когда вы закончите редактирование, вернитесь в режим «только для чтения», нажав «Сделать только для чтения» на вкладке «Файлы». </li>"
"Make files writable","Сделать файлы доступными для записи"
"<li><a target=""_blank"" href=""http://codex.wordpress.org/Editing_wp-config.php#WordPress_Upgrade_Constants"" title=""Editin wp-config.php"">Add your FTP/SSH credentials to the WordPress config file</a>.</li>","<li> <a target=""_blank"" href=""http://codex.wordpress.org/Editing_wp-config.php#WordPress_Upgrade_Constants"" title=""Editin wp-config.php""> Добавьте свои учетные данные FTP / SSH в Файл конфигурации WordPress </a>. </li>"
"<li><a target=""_blank"" href=""http://technet.microsoft.com/en-us/library/cc771170"" title=""Setting Application Pool Identity"">Assign WordPress to an application pool that has write permissions</a> (Windows IIS systems).</li>","<li> <a target=""_blank"" href=""http://technet.microsoft.com/en-us/library/cc771170"" title=""Setting Application Pool Identity""> Назначьте WordPress пулу приложений, имеющему разрешения на запись </a> (системы Windows IIS). </li>"
"<li><a target=""_blank"" href=""http://codex.wordpress.org/Changing_File_Permissions"" title=""Changing File Permissions"">Set write permissions on the server manually</a> (not recommended).</li>","<li> <a target=""_blank"" href=""http://codex.wordpress.org/Changing_File_Permissions"" title=""Changing File Permissions""> Установить разрешения на запись на сервере вручную </a> (не рекомендуется). < / li>"
"<li>Run PHP under Apache with suEXEC (contact your web host).</li>","<li> Запустите PHP под Apache с помощью suEXEC (свяжитесь с вашим веб-хостингом). </li>"
"This Child Theme has incorrect ownership permissions. Child Theme Configurator will attempt to correct this when you click the button below.","Эта детская тема имеет неверные права собственности. Конфигуратор дочерней темы попытается исправить это, нажав на кнопку ниже."
"Correct Child Theme Permissions","Правильные разрешения для детской темы"
"Child Theme Configurator needs to update its internal data. Please set your preferences below and click ""Generate Child Theme Files"" to update your configuration.","Конфигуратор Дочерней Темы должен обновить свои внутренние данные. Пожалуйста, настройте параметры ниже и нажмите «Создать файлы дочерней темы», чтобы обновить конфигурацию."
"<strong>However, some styles could not be parsed due to memory limits.</strong> Try deselecting ""Additional Stylesheets"" below and click ""Generate/Rebuild Child Theme Files"". %sWhy am I seeing this?%s","<strong> Однако некоторые стили не удалось проанализировать из-за ограничений памяти. </strong> Попробуйте отменить выбор «Дополнительные таблицы стилей» ниже и нажать «Создать / восстановить файлы дочерних тем».  %s Почему я вижу это? %s "
"Child Theme Configurator did not detect any configuration data because a previously configured Child Theme has been removed. Please follow the steps for ""CONFIGURE an existing Child Theme"" under the ""Parent/Child"" Tab.","Конфигуратор дочерней темы не обнаружил никаких данных конфигурации, поскольку ранее настроенная дочерняя тема была удалена. Пожалуйста, следуйте инструкциям для «НАСТРОЙКИ существующей дочерней темы» на вкладке «Родительський / Дочерний»."
"Your stylesheet has changed since the last time you used the Configurator. Please follow the steps for ""CONFIGURE an existing Child Theme"" under the ""Parent/Child"" Tab or you will lose these changes.","Ваша таблица стилей изменилась с момента последнего использования Конфигуратора. Пожалуйста, следуйте инструкциям для «НАСТРОЙКИ существующей дочерней темы» на вкладке «Родительський / Дочерний», иначе вы потеряете эти изменения."
"Thank you for installing Child Theme Configurator.","Спасибо за установку Конфигуратора детской темы."
"A lot of time and testing has gone into this release but there may be edge cases. If you have any questions, please","В этот выпуск ушло много времени и испытаний, но могут быть и крайние случаи. Если у вас есть какие-либо вопросы, пожалуйста"
"Contact Us.","Связаться с нами."
"For more information, please open the Help tab at the top right or","Для получения дополнительной информации, пожалуйста, откройте вкладку Справка в правом верхнем углу или"
"click here to view the latest videos.","нажмите здесь, чтобы посмотреть последние видео."
"It is a good idea to save a Zip Archive of your Child Theme before using CTC for the first time. Click the ""save backup"" link ( see Step 2, below ) to export your themes.","Рекомендуется сохранить Zip-архив вашей детской темы перед первым использованием CTC. Нажмите на ссылку «сохранить резервную копию» (см. Шаг 2 ниже), чтобы экспортировать свои темы."
"Select an action:","Выберите действие:"
"CREATE a new Child Theme","СОЗДАТЬ новую детскую тему"
"Install a new customizable child theme using an installed theme as a parent.","Установите новую настраиваемую дочернюю тему, используя установленную тему в качестве Родительской."
"CONFIGURE an existing Child Theme","НАСТРОЙКА существующей детской темы"
"Set up a previously installed child theme for use with the Configurator or to modify current settings.","Установите ранее установленную дочернюю тему для использования с Конфигуратором или для изменения текущих настроек."
"DUPLICATE an existing Child Theme","ДУБЛИРОВАТЬ существующую детскую тему"
"Make a complete copy of an existing Child Theme in a new directory, including any menus, widgets and other Customizer settings. The option to copy the Parent Theme settings (step 8, below) is disabled with this action.","Создайте полную копию существующей дочерней темы в новом каталоге, включая любые меню, виджеты и другие параметры настройки. С помощью этого действия опция копирования настроек Родительской темы (шаг 8, ниже) отключена."
"RESET an existing Child Theme (this will destroy any work you have done in the Configurator)","СБРОСИТЬ существующую дочернюю тему (это уничтожит всю работу, выполненную вами в Конфигураторе)"
"Revert the Child theme stylesheet and functions files to their state before the initial configuration or last reset. Additional child theme files will not be removed, but you can delete them under the Files tab.","Верните таблицу стилей дочерней темы и файлы функций в их состояние до начальной настройки или последнего сброса. Дополнительные файлы дочерней темы не будут удалены, но вы можете удалить их на вкладке Файлы."
"Select a Parent Theme:","Выберите Родительськийскую тему:"
"Click here to save a backup of the selected theme.","Нажмите здесь, чтобы сохранить резервную копию выбранной темы."
"Analyze","анализировать"
"Analyze Parent Theme","Проанализируйте Родительськийскую тему"
"Click ""Analyze"" to determine stylesheet dependencies and other potential issues.","Нажмите «Анализ», чтобы определить зависимости таблицы стилей и другие потенциальные проблемы."
"Select a Child Theme:","Выберите тему для ребенка:"
"Analyze Child Theme","Проанализируйте тему ребенка"
"Name the new theme directory:","Назовите новый каталог темы:"
"Directory Name","Имя каталога"
"NOTE:","НОТА:"
"This is NOT the name of the Child Theme. You can customize the name, description, etc. in step 7, below.","Это НЕ название детской темы. Вы можете настроить имя, описание и т. Д. На шаге 7 ниже."
"Verify Child Theme directory:","Проверьте каталог детской темы:"
"For verification only (you cannot modify the directory of an existing Child Theme).","Только для проверки (вы не можете изменить каталог существующей дочерней темы)."
"Select where to save new styles:","Выберите, где сохранить новые стили:"
"Primary Stylesheet (style.css)","Основная таблица стилей (style.css)"
"Save new custom styles directly to the Child Theme primary stylesheet, replacing the existing values. The primary stylesheet will load in the order set by the theme.","Сохраните новые пользовательские стили непосредственно в основной таблице стилей дочерней темы, заменив существующие значения. Основная таблица стилей будет загружена в порядке, установленном темой."
"Separate Stylesheet","Отдельная таблица стилей"
"Save new custom styles to a separate stylesheet and combine any existing child theme styles with the parent to form baseline. Select this option if you want to preserve the existing child theme styles instead of overwriting them. This option also allows you to customize stylesheets that load after the primary stylesheet.","Сохраните новые пользовательские стили в отдельной таблице стилей и объедините все существующие стили дочерней темы с Родительской для формирования базовой линии. Выберите эту опцию, если вы хотите сохранить существующие стили дочерних тем вместо их перезаписи. Этот параметр также позволяет настраивать таблицы стилей, которые загружаются после основной таблицы стилей."
"Click to expand","Нажмите, чтобы развернуть"
"Select Parent Theme stylesheet handling:","Выберите обработку таблицы стилей Родительской темы:"
"Use the WordPress style queue.","Используйте очередь в стиле WordPress."
"Let the Configurator determine the appropriate actions and dependencies and update the functions file automatically.","Пусть Конфигуратор определит соответствующие действия и зависимости и автоматически обновит файл функций."
"Use <code>@import</code> in the child theme stylesheet.","Используйте <code>@import </code> в таблице стилей дочерней темы."
"Only use this option if the parent stylesheet cannot be loaded using the WordPress style queue. Using <code>@import</code> is not recommended.","Используйте эту опцию, только если Родительськийская таблица стилей не может быть загружена с использованием очереди стилей WordPress. Использование <code>@import </code> не рекомендуется."
"Do not add any parent stylesheet handling.","Не добавляйте Родительськийскую обработку таблиц стилей."
"Select this option if this theme already handles the parent theme stylesheet or if the parent theme's <code>style.css</code> file is not used for its appearance.","Выберите этот параметр, если эта тема уже обрабатывает таблицу стилей Родительской темы или файл <code>style.css </code> Родительской темы не используется для ее отображения."
"Advanced handling options","Расширенные возможности обработки"
"Ignore parent theme stylesheets.","Игнорировать таблицы стилей Родительской темы."
